Grupos de edad;Sexo;Periodo;Total
Todas las edades;Ambos sexos;2023;28.049,94
Todas las edades;Ambos sexos;2022;26.948,87
Todas las edades;Ambos sexos;2021;25.896,82
Todas las edades;Ambos sexos;2020;25.165,51
Todas las edades;Ambos sexos;2019;24.395,98
Todas las edades;Ambos sexos;2018;24.009,12
Todas las edades;Ambos sexos;2017;23.646,50
Todas las edades;Ambos sexos;2016;23.156,34
Todas las edades;Ambos sexos;2015;23.106,30
Todas las edades;Ambos sexos;2014;22.858,17
Todas las edades;Ambos sexos;2013;22.697,86
Todas las edades;Ambos sexos;2012;22.726,44
Todas las edades;Ambos sexos;2011;22.899,35
Todas las edades;Ambos sexos;2010;22.790,20
Todas las edades;Ambos sexos;2009;22.511,47
Todas las edades;Ambos sexos;2008;21.883,42
